workload,tuner_group,tuner_suffix,config_path,passed,failure_reason,fixed_tuner,prior_expected,prior_field_nonempty,explicit_dual_loop,results_dir_leaf_expected,results_dir_leaf_actual,prior_found_in_reasoning_prompt,prior_found_in_quick_prompt,prior_text_found_in_reasoning_prompt,prior_text_found_in_quick_prompt,indirect_sanitizer_found
silo_hi_p99,fixed,fixed,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/silo_hi_p99/tailbench_silo_config_fixed.json,True,,True,False,False,False,fixed,fixed,False,False,False,False,False
silo_hi_p99,app_nomem,llm_dual_app_metrics_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/silo_hi_p99/tailbench_silo_config_llm_dual_app_metrics_final_actor.json,True,,False,False,False,True,llm_dual_app_metrics_final_actor,llm_dual_app_metrics_final_actor,False,False,False,False,False
silo_hi_p99,indirect_nomem,llm_dual_indirect_all_mode3_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/silo_hi_p99/tailbench_silo_config_llm_dual_indirect_all_mode3_final_actor.json,True,,False,False,False,True,llm_dual_indirect_all_mode3_final_actor,llm_dual_indirect_all_mode3_final_actor,False,False,False,False,False
silo_hi_p99,sys_top1_raw,llm_dual_indirect_all_mode3_memory_top_1_raw_to_summary_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/silo_hi_p99/rag_tailbench_silo_config_llm_dual_indirect_all_mode3_memory_top_1_raw_to_summary_final_actor.json,True,,False,True,True,True,rag_llm_dual_indirect_all_mode3_memory_top_1_raw_to_summary_final_actor,rag_llm_dual_indirect_all_mode3_memory_top_1_raw_to_summary_final_actor,True,True,True,True,True
silo_hi_p99,app_top1_raw,llm_dual_app_metrics_memory_top_1_raw_to_summary_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/silo_hi_p99/rag_tailbench_silo_config_llm_dual_app_metrics_memory_top_1_raw_to_summary_final_actor.json,True,,False,True,True,True,rag_llm_dual_app_metrics_memory_top_1_raw_to_summary_final_actor,rag_llm_dual_app_metrics_memory_top_1_raw_to_summary_final_actor,True,True,True,True,False
silo_hi_p99,sys_top3_raw,llm_dual_indirect_all_mode3_memory_top_3_raw_to_summary_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/silo_hi_p99/rag_tailbench_silo_config_llm_dual_indirect_all_mode3_memory_top_3_raw_to_summary_final_actor.json,True,,False,True,True,True,rag_llm_dual_indirect_all_mode3_memory_top_3_raw_to_summary_final_actor,rag_llm_dual_indirect_all_mode3_memory_top_3_raw_to_summary_final_actor,True,True,True,True,True
silo_hi_p99,app_top3_raw,llm_dual_app_metrics_memory_top_3_raw_to_summary_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/silo_hi_p99/rag_tailbench_silo_config_llm_dual_app_metrics_memory_top_3_raw_to_summary_final_actor.json,True,,False,True,True,True,rag_llm_dual_app_metrics_memory_top_3_raw_to_summary_final_actor,rag_llm_dual_app_metrics_memory_top_3_raw_to_summary_final_actor,True,True,True,True,False
silo_hi_p99,sys_last1_raw,llm_dual_indirect_all_mode3_memory_last_1_raw_to_summary_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/silo_hi_p99/rag_tailbench_silo_config_llm_dual_indirect_all_mode3_memory_last_1_raw_to_summary_final_actor.json,True,,False,True,True,True,rag_llm_dual_indirect_all_mode3_memory_last_1_raw_to_summary_final_actor,rag_llm_dual_indirect_all_mode3_memory_last_1_raw_to_summary_final_actor,True,True,True,True,True
silo_hi_p99,app_last1_raw,llm_dual_app_metrics_memory_last_1_raw_to_summary_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/silo_hi_p99/rag_tailbench_silo_config_llm_dual_app_metrics_memory_last_1_raw_to_summary_final_actor.json,True,,False,True,True,True,rag_llm_dual_app_metrics_memory_last_1_raw_to_summary_final_actor,rag_llm_dual_app_metrics_memory_last_1_raw_to_summary_final_actor,True,True,True,True,False
tpcc_hi_p99,fixed,fixed,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/tpcc_hi_p99/tpcc_config_fixed.json,True,,True,False,False,False,fixed,fixed,False,False,False,False,False
tpcc_hi_p99,app_nomem,llm_dual_app_metrics_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/tpcc_hi_p99/tpcc_config_llm_dual_app_metrics_final_actor.json,True,,False,False,False,True,llm_dual_app_metrics_final_actor,llm_dual_app_metrics_final_actor,False,False,False,False,False
tpcc_hi_p99,indirect_nomem,llm_dual_indirect_all_mode3_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/tpcc_hi_p99/tpcc_config_llm_dual_indirect_all_mode3_final_actor.json,True,,False,False,False,True,llm_dual_indirect_all_mode3_final_actor,llm_dual_indirect_all_mode3_final_actor,False,False,False,False,False
tpcc_hi_p99,sys_top1_raw,llm_dual_indirect_all_mode3_memory_top_1_raw_to_summary_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/tpcc_hi_p99/rag_tpcc_config_llm_dual_indirect_all_mode3_memory_top_1_raw_to_summary_final_actor.json,True,,False,True,True,True,rag_llm_dual_indirect_all_mode3_memory_top_1_raw_to_summary_final_actor,rag_llm_dual_indirect_all_mode3_memory_top_1_raw_to_summary_final_actor,True,True,True,True,True
tpcc_hi_p99,app_top1_raw,llm_dual_app_metrics_memory_top_1_raw_to_summary_final_actor,/mydata/os-param-tuning/generated/rag_prior_configs/batch_stage/tpcc_hi_p99/rag_tpcc_config_llm_dual_app_metrics_memory_top_1_raw_to_summary_final_actor.json,True,,False,True,True,True,rag_llm_dual_app_metrics_memory_top_1_raw_to_summary_final_actor,rag_llm_dual_app_metrics_memory_top_1_raw_to_summary_final_actor,True,True,True,True,False
